"MA","ST","Population","City"
"751","FL",608053,"Sarasota-Bradenton"
"752","GA",701524,"Savannah"
"756","PA",832848,"Scranton--Wilkes-Barre--Hazleton"
"761","PA",234168,"Sharon"
"762","WI",211759,"Sheboygan"
"764","TX",294724,"Sherman-Denison"
"768","LA",577747,"Shreveport-Bossier City"
"772","IA",413292,"Sioux City, IA-NE"
"776","SD",613451,"Sioux Falls"
"780","IN",334791,"South Bend"
"784","WA",812740,"Spokane"
"788","IL",353010,"Springfield"
"792","MO",771281,"Springfield"
"800","MA",685484,"Springfield"
"805","PA",303278,"State College"
"808","OH",144262,"Steubenville-Weirton, OH-WV"
"812","CA",590755,"Stockton-Lodi"
"814","SC",168785,"Sumter"
"816","NY",973824,"Syracuse"
"824","FL",528139,"Tallahassee"
"828","FL",2462941,"Tampa-St. Petersburg-Clearwater"
"832","IN",407551,"Terre Haute"
"836","AR",321699,"Texarkana, TX-Texarkana"
"840","OH",917321,"Toledo"
"844","KS",383893,"Topeka"
"852","AZ",1006580,"Tucson"
"856","OK",1219181,"Tulsa"
"860","AL",556195,"Tuscaloosa"
"864","TX",384150,"Tyler"
"868","NY",442267,"Utica-Rome"
"875","TX",180585,"Victoria"
"878","CA",449589,"Visalia-Tulare-Porterville"
"880","TX",281560,"Waco"
"892","IA",377628,"Waterloo-Cedar Falls"
"894","WI",537176,"Wausau"
"896","FL",1176398,"West Palm Beach-Boca Raton"
"900","WV",294963,"Wheeling, WV-OH"
"904","KS",1055786,"Wichita"
"908","TX",251833,"Wichita Falls"
"914","PA",239158,"Williamsport"
"920","NC",300602,"Wilmington"
"926","WA",345425,"Yakima"
"928","PA",408467,"York"
"932","OH",595686,"Youngstown-Warren"
"934","CA",169038,"Yuba City"
"936","AZ",171684,"Yuma"

